name,round_number,damage_type,damage_code,total
cabdf57e-f606-447c-8947-8167110ac52b,328,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,329,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,330,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,331,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,332,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,333,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,334,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,335,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,336,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,337,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,338,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,339,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,340,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,341,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,342,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,343,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,344,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,345,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,346,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,347,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,348,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,349,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,350,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,351,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,352,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,353,Piercing,1d6 + 2,10
cabdf57e-f606-447c-8947-8167110ac52b,354,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,355,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,356,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,357,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,358,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,359,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,360,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,361,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,362,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,363,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,364,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,365,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,366,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,367,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,368,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,369,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,370,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,371,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,372,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,373,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,374,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,375,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,376,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,377,Piercing,1d6 + 2,11
cabdf57e-f606-447c-8947-8167110ac52b,378,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,379,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,380,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,381,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,382,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,383,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,384,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,385,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,386,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,387,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,388,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,389,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,390,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,391,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,392,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,393,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,394,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,395,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,396,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,397,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,398,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,399,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,400,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,401,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,402,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,403,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,404,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,405,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,406,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,407,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,408,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,409,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,410,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,411,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,412,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,413,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,414,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,415,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,416,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,417,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,418,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,419,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,420,Piercing,1d6 + 2,10
cabdf57e-f606-447c-8947-8167110ac52b,421,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,422,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,423,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,424,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,425,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,426,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,427,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,428,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,429,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,430,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,431,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,432,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,433,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,434,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,435,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,436,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,437,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,438,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,439,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,440,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,441,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,442,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,443,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,444,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,445,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,446,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,447,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,448,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,449,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,450,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,451,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,452,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,453,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,454,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,455,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,456,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,457,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,458,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,459,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,460,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,461,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,462,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,463,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,464,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,465,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,466,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,467,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,468,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,469,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,470,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,471,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,472,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,473,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,474,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,475,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,476,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,477,Piercing,1d6 + 2,8
cabdf57e-f606-447c-8947-8167110ac52b,478,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,479,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,480,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,481,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,482,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,483,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,484,Piercing,1d6 + 2,6
cabdf57e-f606-447c-8947-8167110ac52b,485,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,486,Piercing,1d6 + 2,7
cabdf57e-f606-447c-8947-8167110ac52b,487,Piercing,1d6 + 2,5
cabdf57e-f606-447c-8947-8167110ac52b,488,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,489,Piercing,1d6 + 2,4
cabdf57e-f606-447c-8947-8167110ac52b,490,miss,miss,0
cabdf57e-f606-447c-8947-8167110ac52b,491,Piercing,1d6 + 2,3
cabdf57e-f606-447c-8947-8167110ac52b,492,Piercing,1d6 + 2,6
